"","neighborhood","ofns_desc","count"
"1","Astoria","(null)",1
"2","Astoria","ABORTION",1
"3","Astoria","ADMINISTRATIVE CODE",72
"4","Astoria","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",11
"5","Astoria","ALCOHOLIC BEVERAGE CONTROL LAW",6
"6","Astoria","ARSON",87
"7","Astoria","ASSAULT 3 & RELATED OFFENSES",6143
"8","Astoria","BURGLAR'S TOOLS",15
"9","Astoria","BURGLARY",1358
"10","Astoria","CANNABIS RELATED OFFENSES",1
"11","Astoria","CHILD ABANDONMENT/NON SUPPORT",1
"12","Astoria","CRIMINAL MISCHIEF & RELATED OF",5728
"13","Astoria","CRIMINAL TRESPASS",338
"14","Astoria","DANGEROUS DRUGS",864
"15","Astoria","DANGEROUS WEAPONS",655
"16","Astoria","DISORDERLY CONDUCT",2
"17","Astoria","ENDAN WELFARE INCOMP",3
"18","Astoria","ESCAPE 3",2
"19","Astoria","FELONY ASSAULT",2331
"20","Astoria","FELONY SEX CRIMES",1
"21","Astoria","FORGERY",397
"22","Astoria","FRAUDS",157
"23","Astoria","FRAUDULENT ACCOSTING",1
"24","Astoria","GAMBLING",2
"25","Astoria","GRAND LARCENY",4550
"26","Astoria","GRAND LARCENY OF MOTOR VEHICLE",1212
"27","Astoria","HARRASSMENT 2",9352
"28","Astoria","HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
"29","Astoria","INTOXICATED & IMPAIRED DRIVING",504
"30","Astoria","JOSTLING",3
"31","Astoria","KIDNAPPING",2
"32","Astoria","KIDNAPPING & RELATED OFFENSES",9
"33","Astoria","MISCELLANEOUS PENAL LAW",2229
"34","Astoria","MURDER & NON-NEGL. MANSLAUGHTER",23
"35","Astoria","NYS LAWS-UNCLASSIFIED FELONY",47
"36","Astoria","OFF. AGNST PUB ORD SENSBLTY &",2706
"37","Astoria","OFFENSES AGAINST PUBLIC ADMINI",513
"38","Astoria","OFFENSES AGAINST PUBLIC SAFETY",5
"39","Astoria","OFFENSES AGAINST THE PERSON",124
"40","Astoria","OFFENSES INVOLVING FRAUD",230
"41","Astoria","OFFENSES RELATED TO CHILDREN",27
"42","Astoria","OTHER OFFENSES RELATED TO THEF",154
"43","Astoria","OTHER STATE LAWS",3
"44","Astoria","OTHER STATE LAWS (NON PENAL LA",25
"45","Astoria","OTHER STATE LAWS (NON PENAL LAW)",1
"46","Astoria","PETIT LARCENY",11437
"47","Astoria","PETIT LARCENY OF MOTOR VEHICLE",35
"48","Astoria","POSSESSION OF STOLEN PROPERTY",119
"49","Astoria","PROSTITUTION & RELATED OFFENSES",5
"50","Astoria","RAPE",173
"51","Astoria","ROBBERY",1251
"52","Astoria","SEX CRIMES",782
"53","Astoria","THEFT-FRAUD",478
"54","Astoria","UNAUTHORIZED USE OF A VEHICLE",241
"55","Astoria","UNLAWFUL POSS. WEAP. ON SCHOOL",2
"56","Astoria","VEHICLE AND TRAFFIC LAWS",1057
"57","Bay Ridge","(null)",1
"58","Bay Ridge","ADMINISTRATIVE CODE",27
"59","Bay Ridge","ARSON",29
"60","Bay Ridge","ASSAULT 3 & RELATED OFFENSES",2051
"61","Bay Ridge","BURGLAR'S TOOLS",7
"62","Bay Ridge","BURGLARY",694
"63","Bay Ridge","CANNABIS RELATED OFFENSES",1
"64","Bay Ridge","CRIMINAL MISCHIEF & RELATED OF",2592
"65","Bay Ridge","CRIMINAL TRESPASS",153
"66","Bay Ridge","DANGEROUS DRUGS",1641
"67","Bay Ridge","DANGEROUS WEAPONS",631
"68","Bay Ridge","ENDAN WELFARE INCOMP",2
"69","Bay Ridge","FELONY ASSAULT",694
"70","Bay Ridge","FORGERY",257
"71","Bay Ridge","FRAUDS",156
"72","Bay Ridge","FRAUDULENT ACCOSTING",1
"73","Bay Ridge","GRAND LARCENY",2421
"74","Bay Ridge","GRAND LARCENY OF MOTOR VEHICLE",591
"75","Bay Ridge","HARRASSMENT 2",3565
"76","Bay Ridge","HOMICIDE-NEGLIGENT-VEHICLE",1
