"ofns_desc","Incident_Count","year","boro_nm"
"PETIT LARCENY",541926,0,"Overall"
"HARRASSMENT 2",432087,0,"Overall"
"ASSAULT 3 & RELATED OFFENSES",303502,0,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",279340,0,"Overall"
"GRAND LARCENY",256120,0,"Overall"
"FELONY ASSAULT",131263,0,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",112260,0,"Overall"
"ROBBERY",84824,0,"Overall"
"MISCELLANEOUS PENAL LAW",83509,0,"Overall"
"BURGLARY",78949,0,"Overall"
"HARRASSMENT 2",99576,0,"BRONX"
"PETIT LARCENY",92628,0,"BRONX"
"ASSAULT 3 & RELATED OFFENSES",79878,0,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",60974,0,"BRONX"
"GRAND LARCENY",40400,0,"BRONX"
"FELONY ASSAULT",37279,0,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",25763,0,"BRONX"
"DANGEROUS DRUGS",23409,0,"BRONX"
"ROBBERY",23021,0,"BRONX"
"BURGLARY",14358,0,"BRONX"
"PETIT LARCENY",147429,0,"BROOKLYN"
"HARRASSMENT 2",126667,0,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",84588,0,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",82534,0,"BROOKLYN"
"GRAND LARCENY",66001,0,"BROOKLYN"
"FELONY ASSAULT",38921,0,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",34859,0,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",31370,0,"BROOKLYN"
"BURGLARY",24821,0,"BROOKLYN"
"ROBBERY",24555,0,"BROOKLYN"
"PETIT LARCENY",170820,0,"MANHATTAN"
"GRAND LARCENY",92803,0,"MANHATTAN"
"HARRASSMENT 2",86818,0,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",63611,0,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",58310,0,"MANHATTAN"
"FELONY ASSAULT",25282,0,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",24658,0,"MANHATTAN"
